"Année","Type de contribution à la formation","Canton","Degré de formation","Montant versé en fr.","Nombre de bénéficiaires"
"2004","Bourses","Genève","Autres formations générales",1414067,359
"2004","Bourses","Genève","Formation professionnelle initiale (à plein temps)",3341333,760
"2004","Bourses","Genève","Formation professionnelle initiale (duale)",3734155,812
"2004","Bourses","Genève","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Bourses","Genève","Formation professionnelle supérieure",961722,94
"2004","Bourses","Genève","Hautes écoles spécialisées et pédagogiques",2220412,268
"2004","Bourses","Genève","Hautes écoles universitaires",8965276,1017
"2004","Bourses","Genève","Formation continue",328030,42
"2004","Bourses","Jura","Degrés de formation - total",6058425,1258
"2004","Bourses","Jura","Scolarité obligatoire",4310,7
"2004","Bourses","Jura","Maturité gymnasiale",362340,126
"2004","Bourses","Jura","Autres formations générales",183350,60
"2004","Bourses","Jura","Formation professionnelle initiale (à plein temps)",1244905,247
"2004","Bourses","Jura","Formation professionnelle initiale (duale)",366545,135
"2004","Bourses","Jura","Maturité professionnelle (après l'apprentissage)",32610,9
"2004","Bourses","Jura","Formation professionnelle supérieure",462170,63
"2004","Bourses","Jura","Hautes écoles spécialisées et pédagogiques",1112460,172
"2004","Bourses","Jura","Hautes écoles universitaires",2095870,418
"2004","Bourses","Jura","Formation continue",193865,65
"2004","Prêts","Suisse","Degrés de formation - total",30682926,4926
"2004","Prêts","Suisse","Scolarité obligatoire",0,0
"2004","Prêts","Suisse","Maturité gymnasiale",736697,123
"2004","Prêts","Suisse","Autres formations générales",285344,42
"2004","Prêts","Suisse","Formation professionnelle initiale (à plein temps)",1423968,198
"2004","Prêts","Suisse","Formation professionnelle initiale (duale)",947578,138
"2004","Prêts","Suisse","Maturité professionnelle (après l'apprentissage)",149220,22
"2004","Prêts","Suisse","Formation professionnelle supérieure",2831664,439
"2004","Prêts","Suisse","Hautes écoles spécialisées et pédagogiques",6813926,1170
"2004","Prêts","Suisse","Hautes écoles universitaires",16674279,2706
"2004","Prêts","Suisse","Formation continue",820250,102
"2004","Prêts","Zürich","Degrés de formation - total",266651,26
"2004","Prêts","Zürich","Scolarité obligatoire",0,0
"2004","Prêts","Zürich","Maturité gymnasiale",0,0
"2004","Prêts","Zürich","Autres formations générales",0,0
"2004","Prêts","Zürich","Formation professionnelle initiale (à plein temps)",0,0
"2004","Prêts","Zürich","Formation professionnelle initiale (duale)",0,0
"2004","Prêts","Zürich","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Zürich","Formation professionnelle supérieure",7100,1
"2004","Prêts","Zürich","Hautes écoles spécialisées et pédagogiques",122899,14
"2004","Prêts","Zürich","Hautes écoles universitaires",136652,11
"2004","Prêts","Zürich","Formation continue",0,0
"2004","Prêts","Bern / Berne","Degrés de formation - total",2184065,194
"2004","Prêts","Bern / Berne","Scolarité obligatoire",0,0
"2004","Prêts","Bern / Berne","Maturité gymnasiale",105942,11
"2004","Prêts","Bern / Berne","Autres formations générales",65614,6
"2004","Prêts","Bern / Berne","Formation professionnelle initiale (à plein temps)",78710,9
"2004","Prêts","Bern / Berne","Formation professionnelle initiale (duale)",382133,35
"2004","Prêts","Bern / Berne","Maturité professionnelle (après l'apprentissage)",23600,2
"2004","Prêts","Bern / Berne","Formation professionnelle supérieure",206820,16
"2004","Prêts","Bern / Berne","Hautes écoles spécialisées et pédagogiques",383869,34
"2004","Prêts","Bern / Berne","Hautes écoles universitaires",937377,81
"2004","Prêts","Bern / Berne","Formation continue",0,0
"2004","Prêts","Luzern","Degrés de formation - total",1432700,430
"2004","Prêts","Luzern","Scolarité obligatoire",0,0
"2004","Prêts","Luzern","Maturité gymnasiale",5900,2
"2004","Prêts","Luzern","Autres formations générales",15500,5
"2004","Prêts","Luzern","Formation professionnelle initiale (à plein temps)",29800,11
"2004","Prêts","Luzern","Formation professionnelle initiale (duale)",36300,13
"2004","Prêts","Luzern","Maturité professionnelle (après l'apprentissage)",8000,3
"2004","Prêts","Luzern","Formation professionnelle supérieure",168700,40
"2004","Prêts","Luzern","Hautes écoles spécialisées et pédagogiques",367100,119
"2004","Prêts","Luzern","Hautes écoles universitaires",666000,223
"2004","Prêts","Luzern","Formation continue",135400,15
"2004","Prêts","Uri","Degrés de formation - total",299800,78
"2004","Prêts","Uri","Scolarité obligatoire",0,0
"2004","Prêts","Uri","Maturité gymnasiale",0,0
"2004","Prêts","Uri","Autres formations générales",4300,1
"2004","Prêts","Uri","Formation professionnelle initiale (à plein temps)",0,0
"2004","Prêts","Uri","Formation professionnelle initiale (duale)",0,0
"2004","Prêts","Uri","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Uri","Formation professionnelle supérieure",22200,8
"2004","Prêts","Uri","Hautes écoles spécialisées et pédagogiques",125300,33
"2004","Prêts","Uri","Hautes écoles universitaires",142700,36
"2004","Prêts","Uri","Formation continue",5300,1
"2004","Prêts","Schwyz","Degrés de formation - total",567800,53
"2004","Prêts","Schwyz","Scolarité obligatoire",0,0
"2004","Prêts","Schwyz","Maturité gymnasiale",4000,1
"2004","Prêts","Schwyz","Autres formations générales",75000,4
"2004","Prêts","Schwyz","Formation professionnelle initiale (à plein temps)",0,0
"2004","Prêts","Schwyz","Formation professionnelle initiale (duale)",13500,2
"2004","Prêts","Schwyz","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Schwyz","Formation professionnelle supérieure",87100,8
"2004","Prêts","Schwyz","Hautes écoles spécialisées et pédagogiques",111400,11
"2004","Prêts","Schwyz","Hautes écoles universitaires",230900,24
"2004","Prêts","Schwyz","Formation continue",45900,3
"2004","Prêts","Obwalden","Degrés de formation - total",105000,9
"2004","Prêts","Obwalden","Scolarité obligatoire",0,0
"2004","Prêts","Obwalden","Maturité gymnasiale",0,0
"2004","Prêts","Obwalden","Autres formations générales",0,0
"2004","Prêts","Obwalden","Formation professionnelle initiale (à plein temps)",0,0
"2004","Prêts","Obwalden","Formation professionnelle initiale (duale)",0,0
"2004","Prêts","Obwalden","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Obwalden","Formation professionnelle supérieure",17000,2
"2004","Prêts","Obwalden","Hautes écoles spécialisées et pédagogiques",28000,2
"2004","Prêts","Obwalden","Hautes écoles universitaires",60000,5
"2004","Prêts","Obwalden","Formation continue",0,0
"2004","Prêts","Nidwalden","Degrés de formation - total",207510,35
"2004","Prêts","Nidwalden","Scolarité obligatoire",0,0
"2004","Prêts","Nidwalden","Maturité gymnasiale",0,0
"2004","Prêts","Nidwalden","Autres formations générales",0,0
"2004","Prêts","Nidwalden","Formation professionnelle initiale (à plein temps)",26040,4
"2004","Prêts","Nidwalden","Formation professionnelle initiale (duale)",16510,3
"2004","Prêts","Nidwalden","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Nidwalden","Formation professionnelle supérieure",10000,1
"2004","Prêts","Nidwalden","Hautes écoles spécialisées et pédagogiques",72310,14
"2004","Prêts","Nidwalden","Hautes écoles universitaires",82650,13
"2004","Prêts","Nidwalden","Formation continue",0,0
"2004","Prêts","Glarus","Degrés de formation - total",238000,22
"2004","Prêts","Glarus","Scolarité obligatoire",0,0
"2004","Prêts","Glarus","Maturité gymnasiale",0,0
"2004","Prêts","Glarus","Autres formations générales",0,0
"2004","Prêts","Glarus","Formation professionnelle initiale (à plein temps)",50000,5
"2004","Prêts","Glarus","Formation professionnelle initiale (duale)",0,0
"2004","Prêts","Glarus","Maturité professionnelle (après l'apprentissage)",0,0
"2004","Prêts","Glarus","Formation professionnelle supérieure",13000,1
"2004","Prêts","Glarus","Hautes écoles spécialisées et pédagogiques",74000,7
"2004","Prêts","Glarus","Hautes écoles universitaires",92000,8
"2004","Prêts","Glarus","Formation continue",9000,1
"2004","Prêts","Zug","Degrés de formation - total",558000,60
"2004","Prêts","Zug","Scolarité obligatoire",0,0
"2004","Prêts","Zug","Maturité gymnasiale",30000,1
"2004","Prêts","Zug","Autres formations générales",3000,1
